Position,PlayerName,Team,Opponent,Salary,PPG
D,Falcons (Atl),Falcons,Dolphins,6200,6.0
D,Bills (Buf),Bills,Jets,5800,11.0
D,Bears (Chi),Bears,Steelers,8000,10.0
D,Bengals (Cin),Bengals,Packers,5000,6.0
D,Browns (Cle),Browns,Vikings,5800,5.5
D,Cowboys (Dal),Cowboys,Rams,5500,16.5
D,Broncos (Den),Broncos,Raiders,8000,12.5
D,Lions (Det),Lions,Redskins,5000,10.0
D,Packers (GB),Packers,Bengals,5000,2.5
D,Titans (Ten),Titans,Chargers,5000,12.0
D,Colts (Ind),Colts,49ers,5500,6.5
D,Raiders (Oak),Raiders,Broncos,5000,6.5
D,Rams (StL),Rams,Cowboys,5500,5.5
D,Dolphins (Mia),Dolphins,Falcons,5000,11.0
D,Vikings (Min),Vikings,Browns,6500,12.0
D,Patriots (NE),Patriots,Buccaneers,6300,10.5
D,Saints (NO),Saints,Cardinals,5000,8.5
D,Giants (NYG),Giants,Panthers,5000,1.0
D,Jets (NYJ),Jets,Bills,5000,7.5
D,Cardinals (Ari),Cardinals,Saints,5000,8.0
D,Steelers (Pit),Steelers,Bears,5000,2.5
D,Chargers (SD),Chargers,Titans,5000,2.0
D,49ers (SF),49ers,Colts,6800,6.5
D,Seahawks (Sea),Seahawks,Jaguars,10000,15.5
D,Buccaneers (TB),Buccaneers,Patriots,5700,12.5
D,Redskins (Was),Redskins,Lions,5000,7.0
D,Panthers (Car),Panthers,Giants,5600,6.5
D,Jaguars (Jac),Jaguars,Seahawks,5000,5.5
D,Ravens (Bal),Ravens,Texans,5300,7.5
D,Texans (Hou),Texans,Ravens,7000,8.0
K,Matt Bryant,Falcons,Dolphins,5400,6.4
K,Rian Lindell,Buccaneers,Patriots,5200,3.8
K,Robbie Gould,Bears,Steelers,5400,7.9
K,Mike Nugent,Bengals,Packers,5300,6.0
K,Phil Dawson,49ers,Colts,5300,6.7
K,Dan Bailey,Cowboys,Rams,5800,14.3
K,Kai Forbath,Redskins,Lions,5400,3.0
K,Steven Hauschka,Seahawks,Jaguars,5500,8.3
K,Matt Prater,Broncos,Raiders,5700,10.4
K,Mason Crosby,Packers,Bengals,5400,6.0
K,Rob Bironas,Titans,Chargers,5700,9.6
K,Adam Vinatieri,Colts,49ers,5400,5.9
K,Sebastian Janikowski,Raiders,Broncos,5900,10.2
K,Josh Brown,Giants,Panthers,5600,9.8
K,Dan Carpenter,Bills,Jets,5300,8.7
K,Stephen Gostkowski,Patriots,Buccaneers,5600,10.3
K,Garrett Hartley,Saints,Cardinals,5600,12.7
K,Nick Folk,Jets,Bills,5000,8.9
K,Nick Novak,Chargers,Titans,5700,12.1
K,Jay Feely,Cardinals,Saints,5900,11.2
K,Shaun Suisham,Steelers,Bears,5100,3.2
K,David Akers,Lions,Redskins,5500,7.2
K,Graham Gano,Panthers,Giants,5500,6.5
K,Josh Scobee,Jaguars,Seahawks,5000,3.0
K,Billy Cundiff,Browns,Vikings,5500,6.5
K,Randy Bullock,Texans,Ravens,5400,5.0
K,Greg Zuerlein,Rams,Cowboys,6000,11.1
K,Blair Walsh,Vikings,Browns,5500,10.1
K,John Potter,Redskins,Lions,5400,2.0
K,Justin Tucker,Ravens,Texans,5500,5.5
K,Caleb Sturgis,Dolphins,Falcons,5600,11.7
QB,Matt Ryan,Falcons,Dolphins,17450,25.2
QB,Jay Cutler,Bears,Steelers,13250,22.9
QB,Andy Dalton,Bengals,Packers,14050,18.8
QB,Carson Palmer,Cardinals,Saints,15000,17.4
QB,Tony Romo,Cowboys,Rams,14150,18.3
QB,Matthew Stafford,Lions,Redskins,16850,22.6
QB,Aaron Rodgers,Packers,Bengals,20000,36.8
QB,Jake Locker,Titans,Chargers,9550,12.1
QB,Peyton Manning,Broncos,Raiders,20000,42.1
QB,Jason Campbell,Browns,Vikings,8300,0.2
QB,Sam Bradford,Rams,Cowboys,14100,28.3
QB,Chad Henne,Jaguars,Seahawks,8400,9.0
QB,Christian Ponder,Vikings,Browns,9000,11.8
QB,Tom Brady,Patriots,Buccaneers,15100,16.2
QB,Brian Hoyer,Browns,Vikings,8300,0.0
QB,Drew Brees,Saints,Cardinals,17250,19.7
QB,Eli Manning,Giants,Panthers,14200,24.6
QB,Ben Roethlisberger,Steelers,Bears,12350,12.1
QB,Philip Rivers,Chargers,Titans,15550,33.7
QB,Colin Kaepernick,49ers,Colts,16050,21.2
QB,Josh Freeman,Buccaneers,Patriots,12450,10.5
